iter	Passed	Remaining
156	13793	161919
157	13875	161763
158	13962	161669
159	14063	161730
160	14154	161674
161	14248	161656
162	14342	161640
163	14425	161500
164	14503	161297
165	14607	161382
166	14706	161423
167	14784	161226
168	14866	161068
169	14945	160883
170	15029	160755
171	15132	160822
172	15221	160750
173	15302	160586
174	15380	160399
175	15463	160257
176	15551	160172
177	15652	160221
178	15734	160070
179	15812	159880
180	15893	159722
181	15974	159566
182	16054	159401
183	16145	159351
184	16248	159409
185	16327	159234
186	16409	159090
187	16487	158915
188	16577	158843
189	16657	158688
190	16736	158516
191	16832	158505
192	16925	158468
193	17003	158287
194	17085	158147
195	17165	157995
196	17249	157870
197	17331	157731
198	17411	157579
199	17492	157430
200	17587	157416
201	17681	157380
202	17765	157260
203	17846	157119
204	17925	156955
205	18009	156842
206	18109	156863
207	18200	156804
208	18307	156886
209	18402	156860
210	18483	156717
211	18573	156650
212	18675	156684
213	18766	156619
214	18846	156472
215	18925	156312
216	19010	156205
217	19105	156172
218	19191	156074
219	19272	155935
220	19349	155761
221	19432	155637
222	19537	155684
223	19639	155711
224	19718	155558
225	19796	155393
226	19879	155273
227	19960	155133
228	20040	154983
229	20140	154996
230	20231	154929
231	20310	154780
232	20394	154668
233	20481	154575
234	20568	154482
235	20650	154350
236	20749	154352
237	20846	154337
238	20928	154201
239	21005	154043
240	21097	153988
241	21177	153843
242	21258	153709
243	21340	153581
244	21422	153458
245	21524	153474
246	21614	153404
247	21693	153253
248	21777	153140
249	21859	153015
250	21941	152893
251	22027	152791
252	22109	152670
253	22188	152520
254	22281	152472
255	22381	152476
256	22469	152392
257	22568	152381
258	22662	152334
259	22740	152188
260	22823	152066
261	22921	152048
262	22998	151897
263	23078	151755
264	23157	151614
265	23235	151469
266	23314	151328
267	23401	151233
268	23490	151160
269	23572	151040
270	23655	150926
271	23734	150782
272	23819	150681
273	23900	150553
274	23980	150422
275	24060	150290
276	24142	150169
277	24220	150026
278	24303	149914
279	24386	149803
280	24474	149722
281	24556	149605
282	24638	149482
283	24718	149353
284	24801	149247
285	24887	149150
286	24973	149058
287	25055	148938
288	25134	148805
289	25214	148678
290	25298	148576
291	25384	148481
292	25468	148380
293	25549	148257
294	25627	148121
295	25707	147991
296	25794	147908
297	25877	147796
298	25958	147676
299	26043	147580
300	26128	147482
301	26211	147376
302	26295	147272
303	26383	147193
304	26466	147086
305	26547	146967
306	26627	146844
307	26708	146725
308	26787	146594
309	26865	146459
310	26945	146336
311	27023	146203
312	27105	146092
313	27185	145970
314	27266	145852
315	27351	145759
316	27437	145672
317	27517	145549
318	27597	145429
319	27680	145323
320	27760	145202
321	27841	145087
322	27922	144973
323	28025	144970
324	28127	144962
325	28215	144887
326	28314	144860
327	28410	144822
328	28503	144772
329	28602	144746
330	28690	144667
331	28784	144617
332	28885	144600
333	28979	144551
334	29081	144537
335	29181	144518
336	29262	144401
337	29355	144346
338	29456	144328
339	29541	144233
340	29624	144126
341	29720	144082
342	29824	144080
343	29912	143996
344	29999	143911
345	30092	143853
346	30181	143775
347	30272	143708
348	30374	143691
349	30466	143625
350	30551	143532
351	30635	143430
352	30716	143314
353	30801	143217
354	30916	143263
355	30999	143153
356	31078	143030
357	31154	142891
358	31238	142791
359	31323	142694
360	31402	142571
361	31491	142493
362	31587	142448
363	31665	142322
364	31745	142202
365	31826	142088
366	31912	141996
367	31991	141876
368	32071	141759
369	32152	141644
370	32264	141669
371	32358	141611
372	32441	141508
373	32520	141385
374	32599	141264
375	32678	141144
376	32760	141034
377	32850	140960
378	32947	140919
379	33036	140841
380	33131	140788
381	33223	140722
382	33303	140603
383	33385	140499
384	33466	140386
385	33549	140282
386	33630	140169
387	33711	140058
388	33789	139937
389	33874	139841
390	33963	139763
391	34046	139661
392	34130	139561
393	34220	139489
394	34304	139390
395	34388	139289
396	34466	139169
397	34548	139060
398	34627	138945
